Loan_ID,Gender,Married,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP001002,1,1,0,0,5849,0.0,128.0,360.0,1.0,2,1
LP001003,1,1,1,0,4583,1508.0,128.0,360.0,1.0,2,1
LP001005,1,0,1,0,3000,0.0,66.0,360.0,1.0,1,1
LP001006,1,1,1,1,2583,2358.0,120.0,360.0,1.0,2,1
LP001008,1,1,1,0,6000,0.0,141.0,360.0,1.0,2,1
LP001011,1,1,1,0,5417,4196.0,267.0,360.0,1.0,2,1
LP001013,1,1,1,0,2333,1516.0,95.0,360.0,1.0,2,1
LP001014,1,0,1,0,3036,2504.0,158.0,360.0,0.0,2,0
LP001018,1,1,1,0,4006,1526.0,168.0,360.0,1.0,2,1
LP001020,1,1,1,1,12841,10968.0,349.0,360.0,1.0,2,1
